wdid,structureName,associatedAkas,ciuCode,structureType,waterSource,gnisId,streamMile,porStart,porEnd,division,waterDistrict,subdistrict,county,latdecdeg,longdecdeg,modified,,,,,,DITCH
3600517,BELL DITCH,,A,DITCH,SPRING CREEK,175603,0.61,1966-05-20T00:00:00.0000000,2020-09-09T00:00:00.0000000,5,36,,GRAND,39.916815,-106.354489,2020-01-03T19:04:10.4770000,,,,,,MEASURING POINT
3600518,BELL NO 1 DITCH,,H,DITCH,SPRING CREEK,175603,0.15,1975-09-05T00:00:00.0000000,1989-07-01T00:00:00.0000000,5,36,,GRAND,39.91933,-106.348001,1989-02-22T00:00:00.0000000,,,,,,SEEP
3600519,BELL NO 2 DITCH,,A,DITCH,SPRING CREEK,175603,0.1,1965-06-01T00:00:00.0000000,2020-09-09T00:00:00.0000000,5,36,,GRAND,39.921058,-106.346873,1987-05-05T00:00:00.0000000,,,,,,RESERVOIR SYSTEM
3600520,BELLS BLUE RIVER DITCH,,A,DITCH,BLUE RIVER,173194,12.51,1965-07-09T00:00:00.0000000,2020-07-27T00:00:00.0000000,5,36,,SUMMIT,39.912833,-106.340593,1987-09-24T00:00:00.0000000,,,,,,DITCH SYSTEM
3600521,BENSON DITCH,"GUETZ-RUMACK DITCH, MATHIS",A,DITCH,BOULDER CREEK,175929,0.5,1964-06-05T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.737878,-106.142329,2008-09-11T13:52:11.0000000,,,,,,REACH (AGGREGATING)
3600522,BENTON CREEK NO 1 DITCH,,A,DITCH,BEAVER CREEK,196487,2.01,1970-08-03T00:00:00.0000000,1980-07-16T00:00:00.0000000,5,36,,GRAND,39.965011,-106.398176,2010-03-24T08:32:47.0000000,,,,,,EROSION CONTROL DAM
3600523,BENTON CREEK NO 2 DITCH,,A,DITCH,BEAVER CREEK,196487,1.11,1970-08-03T00:00:00.0000000,1980-07-16T00:00:00.0000000,5,36,,GRAND,39.966047,-106.393689,2010-03-24T08:33:14.0000000,,,,,,
3600524,B-L DITCH,,H,DITCH,MIDDLE BARTON CREEK,176207,0.56,1975-07-28T00:00:00.0000000,1988-08-08T00:00:00.0000000,5,36,,SUMMIT,39.516298,-106.057773,2015-03-20T10:40:07.1670000,,,,,,
3600525,B-L NO 2 DITCH,,H,DITCH,MIDDLE BARTON CREEK,176207,0.51,1975-09-08T00:00:00.0000000,1988-08-05T00:00:00.0000000,5,36,,SUMMIT,39.512673,-106.057731,2015-03-20T10:40:33.6800000,,,,,,
3600526,BLACK CREEK DITCH,,A,DITCH,BLACK CREEK,175665,1.3,1967-06-01T00:00:00.0000000,2020-09-15T00:00:00.0000000,5,36,,SUMMIT,39.840604,-106.255155,1987-09-24T00:00:00.0000000,,,,,,
3600527,BLACK CREEK FEEDER,,H,DITCH,BLACK CREEK,175665,0.65,1975-09-24T00:00:00.0000000,1980-07-17T00:00:00.0000000,5,36,,SUMMIT,39.848637,-106.261332,2019-04-04T09:19:03.0300000,,,,,,
3600528,BLUE DANUBE DITCH,,H,DITCH,MIDDLE BARTON CREEK,176207,0.14,1966-06-01T00:00:00.0000000,1985-09-13T00:00:00.0000000,5,36,,SUMMIT,39.516332,-106.053093,2015-03-20T10:50:23.2030000,,,,,,
3600529,BLUE DANUBE NO 2 DITCH,TIGER RUN,A,DITCH,BLUE RIVER,173194,50.45,1964-06-10T00:00:00.0000000,1993-05-31T00:00:00.0000000,5,36,,SUMMIT,39.552447,-106.0422,2013-04-11T09:43:14.2330000,,,,,,
3600530,BLUE RIVER IRRIGATION DITCH,,A,DITCH,BLUE RIVER,173194,30.94,1964-06-16T00:00:00.0000000,2016-10-15T00:00:00.0000000,5,36,,SUMMIT,39.768421,-106.153283,2015-03-20T10:55:53.8170000,,,,,,
3600531,MOSER PUMP NO. 1,,A,PUMP,BLUE RIVER,173194,29.8,2020-10-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.782737,-106.161498,2011-04-22T14:47:29.0000000,,,,,,
3600532,BLUE VALLEY RANCH NORTH SPRUCE CREEK DIVERSION,BLUE VALLEY RANCH/GALLOWAY,A,DITCH,SPRUCE CREEK,175604,1.89,,,5,36,,GRAND,39.942524,-106.390625,2020-01-12T11:22:18.2700000,,,,,,
3600533,BLUE RIVER NO 3 DITCH,,H,DITCH,BLUE RIVER,173194,58.68,1975-07-28T00:00:00.0000000,1985-06-19T00:00:00.0000000,5,36,,SUMMIT,39.443008,-106.001558,2016-02-11T12:43:03.9730000,,,,,,
3600534,BLUE VALLEY DITCH,,A,DITCH,QUAKING ASP CREEK,175973,0.86,1967-06-01T00:00:00.0000000,2006-06-14T00:00:00.0000000,5,36,,SUMMIT,39.730476,-106.115998,2006-02-16T15:29:00.0000000,,,,,,
3600535,BOBO DITCH,BRVRLA,A,DITCH,BLUE RIVER,173194,43.64,1964-06-10T00:00:00.0000000,2021-01-28T00:00:00.0000000,5,36,,SUMMIT,39.629687,-106.0713,2006-01-25T16:45:00.0000000,,,,,,
3600536,BOBO STRAIT SPRINGS,BRVRLA,A,SPRING,BLUE RIVER,173194,,1977-07-12T00:00:00.0000000,1999-10-31T00:00:00.0000000,5,36,,SUMMIT,39.647406,-106.074662,1997-05-28T00:00:00.0000000,,,,,,
3600537,BRECKENRIDGE SKI AREA PUMP PLANT AND PL,,N,PUMP,BLUE RIVER,173194,56.47,,,5,36,,SUMMIT,39.475184,-106.047126,2015-03-23T17:38:15.9870000,,,,,,
3600538,BRADDOCK DITCH,,A,DITCH,BLUE RIVER,173194,52.85,1975-07-28T00:00:00.0000000,1989-10-24T00:00:00.0000000,5,36,,SUMMIT,39.52381,-106.048403,2016-02-24T11:12:13.9300000,,,,,,
3600539,BROWN DITCH,,H,DITCH,BLACK CREEK,175665,4.89,1975-09-24T00:00:00.0000000,1980-07-17T00:00:00.0000000,5,36,,SUMMIT,39.803107,-106.263503,2015-03-20T11:19:45.1900000,,,,,,
3600540,BROWN ACORN DITCH,,A,DITCH,ACORN CREEK,175965,2.05,1966-06-01T00:00:00.0000000,2020-09-09T00:00:00.0000000,5,36,,SUMMIT,39.763325,-106.115104,1992-03-31T00:00:00.0000000,,,,,,
3600541,BRUSH CREEK DITCH,,A,DITCH,BRUSH CREEK,175640,1.31,1965-06-01T00:00:00.0000000,2020-08-24T00:00:00.0000000,5,36,,SUMMIT,39.798704,-106.210708,1992-09-01T00:00:00.0000000,,,,,,
3600542,BUFFALO DITCH,,A,DITCH,WILLOW CREEK,175976,1.07,1963-06-05T00:00:00.0000000,2012-06-01T00:00:00.0000000,5,36,,SUMMIT,39.65025,-106.095289,1992-09-02T00:00:00.0000000,,,,,,
3600543,BUFFEHR DITCH,CLIMAX INTEGRATED WATER SYSTEM,U,DITCH,TENMILE CREEK,176191,18.46,1975-07-31T00:00:00.0000000,1981-08-20T00:00:00.0000000,5,36,,SUMMIT,39.370609,-106.18791,2017-02-16T10:48:45.6800000,,,,,,
3600544,SOUTH WATER RAISE,CLIMAX INTEGRATED WATER SYSTEM,U,PIPELINE,TENMILE CREEK,176191,18.46,1975-07-31T00:00:00.0000000,1976-09-24T00:00:00.0000000,5,36,,SUMMIT,39.36956,-106.164211,2017-02-16T10:47:14.3900000,,,,,,
3600545,BUMGARNER NO 1 DITCH,,A,DITCH,BEAVER CREEK,196487,3.51,1969-05-20T00:00:00.0000000,2020-06-20T00:00:00.0000000,5,36,,GRAND,39.972447,-106.431127,1996-04-03T00:00:00.0000000,,,,,,
3600546,BUMGARNER NO 2 DITCH,,A,DITCH,BEAVER CREEK,196487,3.49,1970-06-03T00:00:00.0000000,2020-06-17T00:00:00.0000000,5,36,,GRAND,39.976468,-106.43011,1987-09-24T00:00:00.0000000,,,,,,
3600547,BYRON DITCH,,H,DITCH,TENMILE CREEK,176191,,1975-07-31T00:00:00.0000000,1985-06-13T00:00:00.0000000,5,36,,SUMMIT,,,2015-03-20T11:30:45.0770000,,,,,,
3600548,BYRON PLACER DITCH,,H,DITCH,SWAN RIVER,176199,7.63,1975-08-28T00:00:00.0000000,1989-10-06T00:00:00.0000000,5,36,,SUMMIT,39.498092,-105.944074,2015-03-20T11:31:11.9900000,,,,,,
3600549,CALL DITCH,,H,DITCH,BLUE RIVER,173194,3.76,1975-07-15T00:00:00.0000000,1981-10-13T00:00:00.0000000,5,36,,GRAND,40.012882,-106.380734,2016-02-24T11:21:42.0030000,,,,,,
3600550,CARL FRITZ JACOBSON DITCH,,H,DITCH,KEYSTONE CREEK,182372,0.23,1964-06-10T00:00:00.0000000,1984-08-16T00:00:00.0000000,5,36,,SUMMIT,39.599647,-105.976251,2019-02-26T10:12:08.3770000,,,,,,
3600551,CARR PLACER DITCH,,I,DITCH,BLUE RIVER,173194,64.54,1975-07-28T00:00:00.0000000,1989-10-24T00:00:00.0000000,5,36,,SUMMIT,39.381397,-106.063481,1987-05-05T00:00:00.0000000,,,,,,
3600552,CARWOOD DITCH,,H,DITCH,TENMILE CREEK,176191,3.46,1966-06-15T00:00:00.0000000,1991-06-30T00:00:00.0000000,5,36,,SUMMIT,39.567794,-106.084135,1997-06-20T00:00:00.0000000,,,,,,
3600553,CARWOOD DITCH,,A,DITCH,MINERS CREEK,176232,1.18,1966-06-15T00:00:00.0000000,2020-10-01T00:00:00.0000000,5,36,,SUMMIT,39.564345,-106.085927,2013-07-08T21:49:56.5830000,,,,,,
3600554,CATARACT CREEK NO 1 DITCH,CATARACT CREEK NO 3 DITCH - NEW PT DIV,H,DITCH,CATARACT CREEK,175614,1.35,1976-05-15T00:00:00.0000000,1976-07-13T00:00:00.0000000,5,36,,SUMMIT,39.851602,-106.29075,2016-02-24T13:50:57.5230000,,,,,,
3600555,CATARACT CREEK NO 2 DITCH,,A,DITCH,CATARACT CREEK,175614,0.94,1967-06-01T00:00:00.0000000,2018-10-01T00:00:00.0000000,5,36,,SUMMIT,39.856768,-106.287176,2015-03-23T12:31:41.7770000,,,,,,
3600556,CATARACT CREEK NO 3 DITCH,CATARACT CREEK NO 1 DITCH - NEW DIV PT,H,DITCH,CATARACT CREEK,175614,1.35,1976-05-15T00:00:00.0000000,1976-07-13T00:00:00.0000000,5,36,,SUMMIT,39.851564,-106.290855,2019-02-06T10:52:32.3200000,,,,,,
3600557,CATARACT CREEK NO 4 DITCH,CATARACT CREEK NO 5 DITCH - NEW DIV PT,H,DITCH,CATARACT CREEK,175614,0.94,1976-05-15T00:00:00.0000000,1976-07-13T00:00:00.0000000,5,36,,SUMMIT,39.85684,-106.287154,2016-02-24T13:42:31.2470000,,,,,,
3600558,CATARACT CREEK NO 5 DITCH,CATARACT CREEK NO 4 DITCH - NEW PT DIV,H,DITCH,CATARACT CREEK,175614,1.2,1976-05-15T00:00:00.0000000,1976-07-13T00:00:00.0000000,5,36,,SUMMIT,39.853473,-106.289348,2016-02-24T13:42:40.6870000,,,,,,
3600559,CATARACT FALLS DITCH,,H,DITCH,CATARACT CREEK,175614,4.86,1975-06-01T00:00:00.0000000,1981-08-18T00:00:00.0000000,5,36,,SUMMIT,39.823412,-106.334044,1987-09-24T00:00:00.0000000,,,,,,
3600560,CBS PIPELINE,SILVER KING PIPELINE,H,PIPELINE,SNAKE RIVER,176197,12.34,1975-08-25T00:00:00.0000000,1989-10-10T00:00:00.0000000,5,36,,SUMMIT,39.585742,-105.874038,2015-03-21T13:06:01.0100000,,,,,,
3600561,CHALK MOUNTAIN DITCH,,A,DITCH,TENMILE CREEK,176191,18.46,1976-09-24T00:00:00.0000000,1977-08-26T00:00:00.0000000,5,36,,SUMMIT,39.369413,-106.188598,1997-06-20T00:00:00.0000000,,,,,,
3600562,CHAMPION PIPELINE,,H,PIPELINE,BLUE RIVER,173194,64.36,1975-07-28T00:00:00.0000000,1989-10-24T00:00:00.0000000,5,36,,SUMMIT,39.388576,-106.082098,2015-03-21T13:06:20.3770000,,,,,,
3600563,CHARLES JONES DITCH,,H,DITCH,OTTER CREEK,175615,0,1975-09-24T00:00:00.0000000,1978-07-06T00:00:00.0000000,5,36,,SUMMIT,39.864871,-106.258739,1987-09-24T00:00:00.0000000,,,,,,
3600564,CHIHUAHUA DITCH,,H,DITCH,PERU CREEK,181824,1.91,1975-08-25T00:00:00.0000000,1989-10-10T00:00:00.0000000,5,36,,SUMMIT,39.603117,-105.840894,2015-03-21T13:07:47.3270000,,,,,,
3600565,CHIHUAHUA PIPELINE,,H,PIPELINE,PERU CREEK,181824,1.64,1975-08-25T00:00:00.0000000,1989-10-10T00:00:00.0000000,5,36,,SUMMIT,39.609835,-105.84312,2015-03-21T13:08:04.5270000,,,,,,
3600566,CLINTON CREEK DITCH,,A,DITCH,TENMILE CREEK,176191,18.46,1976-09-24T00:00:00.0000000,1985-06-14T00:00:00.0000000,5,36,,SUMMIT,39.388441,-106.148419,1994-02-04T00:00:00.0000000,,,,,,
3600567,CLANCEY DITCH,,A,DITCH,SHANE GULCH,175692,0.77,1965-06-01T00:00:00.0000000,2020-10-25T00:00:00.0000000,5,36,,SUMMIT,39.845619,-106.220859,1990-07-18T00:00:00.0000000,,,,,,
3600568,CLEAR CREEK DITCH HDG 1,,A,DITCH,MUMFORD GULCH,175639,2.16,1970-09-09T00:00:00.0000000,2010-05-07T00:00:00.0000000,5,36,,SUMMIT,39.889274,-106.24844,1997-05-07T00:00:00.0000000,,,,,,
3600569,C M OMER DITCH,,A,DITCH,PASS CREEK,175680,1.52,1967-06-01T00:00:00.0000000,2020-09-12T00:00:00.0000000,5,36,,SUMMIT,39.807085,-106.139303,1992-09-02T00:00:00.0000000,,,,,,
3600570,COLUMBUS DITCH (HDG 1),"PEBBLE CR RANCH, VIDLER WATER COMPANY",A,DITCH,ROCK CREEK,175942,0.5,1965-06-05T00:00:00.0000000,2020-09-30T00:00:00.0000000,5,36,,SUMMIT,39.71548,-106.157709,1997-06-20T00:00:00.0000000,,,,,,
3600571,COLUMBINE DITCH,,A,DITCH,SLATE CREEK,175941,4.82,1969-06-15T00:00:00.0000000,2020-08-01T00:00:00.0000000,5,36,,SUMMIT,39.730649,-106.214534,1992-09-01T00:00:00.0000000,,,,,,
3600572,CONGRESS MINE DITCH,,H,DITCH,SWAN RIVER,176199,,1975-08-28T00:00:00.0000000,1989-10-06T00:00:00.0000000,5,36,,SUMMIT,,,2015-03-21T13:27:37.3800000,,,,,,
3600573,CONNORS AND BONANZA PL,,H,PIPELINE,TENMILE CREEK,176191,,1975-07-31T00:00:00.0000000,1985-06-13T00:00:00.0000000,5,36,,SUMMIT,,,2015-03-21T13:27:52.0630000,,,,,,
3600574,COTTONWOOD DITCH,,H,DITCH,COTTONWOOD GULCH,196491,1.49,1975-09-10T00:00:00.0000000,2000-06-05T00:00:00.0000000,5,36,,SUMMIT,39.872242,-106.235178,2015-03-21T13:28:11.6300000,,,,,,
3600575,COULTER NO 1 DITCH,,A,DITCH,BEAVER CREEK,196487,3.46,1970-06-03T00:00:00.0000000,1980-07-16T00:00:00.0000000,5,36,,GRAND,39.960678,-106.421784,2015-03-03T11:31:51.6400000,,,,,,
3600576,COULTER NO 2 DITCH,,A,DITCH,BEAVER CREEK,196487,2.33,1970-06-03T00:00:00.0000000,1980-07-16T00:00:00.0000000,5,36,,GRAND,39.963679,-106.413604,2016-02-11T13:12:45.6070000,,,,,,
3600577,COW CAMP DITCH,,A,DITCH,COW CAMP CREEK,196490,1.43,1967-06-01T00:00:00.0000000,2020-10-20T00:00:00.0000000,5,36,,SUMMIT,39.893591,-106.284684,1987-05-05T00:00:00.0000000,,,,,,
3600578,COW CAMP CREEK DITCH NO 2,,A,DITCH,COW CAMP CREEK,196490,1.31,1968-06-10T00:00:00.0000000,2020-10-09T00:00:00.0000000,5,36,,SUMMIT,39.892026,-106.285192,2019-06-18T11:48:23.1970000,,,,,,
3600579,CRYSTAL CREEK DITCH,,A,DITCH,CRYSTAL CREEK,179657,0.97,1977-08-31T00:00:00.0000000,1984-06-27T00:00:00.0000000,5,36,,SUMMIT,39.437256,-106.072227,2015-03-22T11:04:31.9970000,,,,,,
3600580,MILL CREEK DIVERSION NO 1,,A,DITCH,SNAKE RIVER,176197,6.99,2015-06-15T00:00:00.0000000,2020-10-16T00:00:00.0000000,5,36,,SUMMIT,39.605433,-105.943426,2012-09-07T12:24:42.4270000,,,,,,
3600581,CURRAN DITCH,,A,DITCH,ROCK CREEK,175942,0.5,1970-06-12T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.717618,-106.148341,2008-02-12T11:27:36.4500000,,,,,,
3600582,CURRAN NO 2 DITCH,,A,DITCH,ROCK CREEK,175942,0.49,1966-06-01T00:00:00.0000000,2013-09-27T00:00:00.0000000,5,36,,SUMMIT,39.720079,-106.132655,1992-09-01T00:00:00.0000000,,,,,,
3600583,DAVIS DITCH,INDEPENDENT BLUE,H,DITCH,ACORN CREEK,175965,0.26,1967-06-01T00:00:00.0000000,1977-07-06T00:00:00.0000000,5,36,,SUMMIT,39.768468,-106.146699,2015-03-22T11:45:27.2370000,,,,,,
3600584,D D DITCH,,A,DITCH,ROCK CREEK,175942,0.29,1965-06-01T00:00:00.0000000,2020-10-01T00:00:00.0000000,5,36,,SUMMIT,39.721918,-106.129803,1993-01-20T00:00:00.0000000,,,,,,
3600585,DEGRAW DITCH,,H,DITCH,SQUAW CREEK,175689,0.15,1975-09-22T00:00:00.0000000,2007-07-30T00:00:00.0000000,5,36,,SUMMIT,39.808247,-106.190502,2018-05-13T13:41:03.6700000,,,,,,
3600586,DELEWARE DITCH,,H,DITCH,SWAN RIVER,176199,,1975-08-28T00:00:00.0000000,1989-10-06T00:00:00.0000000,5,36,,SUMMIT,,,2015-03-22T11:51:23.1870000,,,,,,
3600587,DEMING DITCH,,H,DITCH,NORTH TENMILE CREEK,176189,0.11,1975-07-22T00:00:00.0000000,1990-08-14T00:00:00.0000000,5,36,,SUMMIT,39.575019,-106.112742,2015-03-22T11:51:49.1500000,,,,,,
3600588,DERCUM DITCH,,A,DITCH,SNAKE RIVER,176197,8.1,1965-05-20T00:00:00.0000000,1989-10-10T00:00:00.0000000,5,36,,SUMMIT,39.607732,-105.926404,2015-03-22T11:52:34.1430000,,,,,,
3600589,DILLON DITCH,OLD DILLON RESERVOIR,A,DITCH,SALT LICK CREEK,176188,1.81,1967-06-15T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.610285,-106.089103,2007-12-11T11:30:31.9870000,,,,,,
3600590,DOIG DITCH,,H,DITCH,BLUE RIVER,173194,26.43,1964-05-25T00:00:00.0000000,1993-05-31T00:00:00.0000000,5,36,,SUMMIT,39.809038,-106.187186,1995-01-23T00:00:00.0000000,,,,,,
3600591,DOMESTIC SUPPLY DITCH,,A,DITCH,ACORN CREEK,175965,2.04,1967-06-10T00:00:00.0000000,2018-07-09T00:00:00.0000000,5,36,,SUMMIT,39.769998,-106.111744,1987-09-24T00:00:00.0000000,,,,,,
3600592,DOW-FRY DITCH,,H,DITCH,STRAIGHT CREEK,175967,2.26,1976-08-23T00:00:00.0000000,1985-10-28T00:00:00.0000000,5,36,,SUMMIT,39.640316,-106.032296,1992-03-31T00:00:00.0000000,,,,,,
3600593,DRY CREEK DITCH - HEADGATE NO 1,,A,DITCH,DRY CREEK,175633,0.24,1968-05-20T00:00:00.0000000,2019-09-19T00:00:00.0000000,5,36,,GRAND,40.017656,-106.388904,2017-01-05T14:48:31.5600000,,,,,,
3600594,DRY CREEK NO 1 DITCH,,A,DITCH,DRY CREEK,175633,2.11,1968-05-20T00:00:00.0000000,2019-10-29T00:00:00.0000000,5,36,,GRAND,40.010222,-106.420984,1987-05-05T00:00:00.0000000,,,,,,
3600595,DRY CREEK NO 2 DITCH,,A,DITCH,DRY CREEK,175633,1.68,1968-05-20T00:00:00.0000000,2019-07-11T00:00:00.0000000,5,36,,GRAND,40.009663,-106.412115,1987-05-05T00:00:00.0000000,,,,,,
3600596,DRY CREEK NO 3 DITCH,,A,DITCH,DRY CREEK,175633,1.35,1968-05-20T00:00:00.0000000,2019-06-04T00:00:00.0000000,5,36,,GRAND,40.01279,-106.407634,1987-05-05T00:00:00.0000000,,,,,,
3600597,DUSING NO 1 DITCH,,A,DITCH,SLATE CREEK,175941,0.85,1965-06-01T00:00:00.0000000,2020-09-23T00:00:00.0000000,5,36,,SUMMIT,39.781176,-106.175158,1992-09-01T00:00:00.0000000,,,,,,
3600598,DUSING NO 2 DITCH,ALBER DITCH,H,DITCH,SLATE CREEK,175941,0.54,1975-09-12T00:00:00.0000000,2005-10-06T00:00:00.0000000,5,36,,SUMMIT,39.782203,-106.170656,2014-04-17T11:27:58.2230000,,,,,,
3600599,EAST TROUT CREEK DITCH,,H,DITCH,SODA CREEK,176198,3.97,1966-06-01T00:00:00.0000000,1981-09-04T00:00:00.0000000,5,36,,SUMMIT,39.557655,-105.987,1987-05-05T00:00:00.0000000,,,,,,
3600600,HENRIKSEN WELL EXCHANGE,,H,REACH,BLUE RIVER,173194,50.91,,,5,36,,SUMMIT,39.546679,-106.038343,2014-04-28T13:11:39.2130000,,,,,,
3600601,CLINTON CANAL,,U,DITCH,TENMILE CREEK,176191,18.46,,,5,36,,SUMMIT,39.388477,-106.148419,2014-03-10T14:48:08.9770000,,,,,,
3600602,EAST HOOSIER GULCH DITCH,,H,DITCH,HOOSIER CREEK,360004,0.46,1976-10-14T00:00:00.0000000,1985-06-19T00:00:00.0000000,5,36,,SUMMIT,39.370438,-106.039796,2015-03-23T09:36:17.5300000,,,,,,
3600603,ED WARD DITCH,,A,DITCH,BLUE RIVER,173194,37.63,1964-06-01T00:00:00.0000000,2020-10-14T00:00:00.0000000,5,36,,SUMMIT,39.702608,-106.106556,1992-08-31T00:00:00.0000000,,,,,,
3600604,EIGHTY-EIGHT DITCH,,H,DITCH,OTTER CREEK,175615,0,1975-09-24T00:00:00.0000000,1978-07-06T00:00:00.0000000,5,36,,SUMMIT,39.864871,-106.258739,1987-09-24T00:00:00.0000000,,,,,,
3600605,ELI LAMBERT DITCH,,H,DITCH,MIDDLE BARTON CREEK,176207,0.61,1975-09-08T00:00:00.0000000,1990-08-21T00:00:00.0000000,5,36,,SUMMIT,39.50531,-106.067041,2015-03-23T09:41:45.9000000,,,,,,
3600606,ELLIOTT CREEK FEEDER,GREELCCO,A,DITCH,ELLIOTT CREEK,175623,0.6,1969-06-03T00:00:00.0000000,2020-10-01T00:00:00.0000000,5,36,,SUMMIT,39.876806,-106.341926,2014-03-25T16:52:49.7500000,,,,,,
3600607,ELSIE DITCH,,H,DITCH,BLUE RIVER,173194,42.26,1976-07-08T00:00:00.0000000,1976-07-08T00:00:00.0000000,5,36,,SUMMIT,39.647555,-106.070597,2015-03-23T09:43:35.3770000,,,,,,
3600608,ELYRIA DITCH,,H,DITCH,BLUE RIVER,173194,54.76,1975-07-28T00:00:00.0000000,1989-10-24T00:00:00.0000000,5,36,,SUMMIT,39.498028,-106.057504,2016-02-25T15:24:47.5600000,,,,,,
3600609,EMMETT DITCH NO 3,EMMET BRUSH CREEK DITCH NO 3,A,DITCH,BRUSH CREEK,175640,1.86,1968-06-01T00:00:00.0000000,2020-08-24T00:00:00.0000000,5,36,,SUMMIT,39.804112,-106.220837,2020-05-24T14:51:53.3000000,,,,,,
